epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,6758.03,0.55757,0.52326,0.92668,0.8244,1,0.96167,0.68287,0.98971,2.76589,1.11799,0.0010001,0.0010001,0.0010001
103,6810.13,0.59535,0.46535,0.90652,0.8244,1,0.96167,0.68287,0.98971,2.76589,1.11799,0.0009902,0.0009902,0.0009902
104,6864.63,0.62459,0.49339,0.91183,0.80346,0.82078,0.96167,0.72926,0.97164,1.79307,1.13734,0.0009803,0.0009803,0.0009803
105,6918.5,0.57981,0.45702,0.91685,0.80346,0.82078,0.96167,0.72926,0.97164,1.79307,1.13734,0.0009704,0.0009704,0.0009704
106,6979.26,0.637,0.48118,0.96749,0.80346,0.82078,0.96167,0.72926,0.97164,1.79307,1.13734,0.0009605,0.0009605,0.0009605
107,7035.01,0.58997,0.41369,0.94946,0.80346,0.82078,0.96167,0.72926,0.97164,1.79307,1.13734,0.0009506,0.0009506,0.0009506
108,7090.51,0.57579,0.44599,0.91507,0.88767,0.8,0.90611,0.74682,0.88035,1.40292,1.19908,0.0009407,0.0009407,0.0009407
109,7146.19,0.50234,0.40611,0.89894,0.88767,0.8,0.90611,0.74682,0.88035,1.40292,1.19908,0.0009308,0.0009308,0.0009308
110,7197.49,0.55598,0.49619,0.92929,0.88767,0.8,0.90611,0.74682,0.88035,1.40292,1.19908,0.0009209,0.0009209,0.0009209
111,7250.84,0.56351,0.46633,0.99015,0.88767,0.8,0.90611,0.74682,0.88035,1.40292,1.19908,0.000911,0.000911,0.000911
112,7306.75,0.53122,0.41118,0.88571,0.72644,0.6,0.74167,0.59398,0.98023,1.71975,1.17739,0.0009011,0.0009011,0.0009011
113,7367.27,0.56227,0.44633,0.89201,0.72644,0.6,0.74167,0.59398,0.98023,1.71975,1.17739,0.0008912,0.0008912,0.0008912
114,7419.27,0.5041,0.43467,0.88137,0.72644,0.6,0.74167,0.59398,0.98023,1.71975,1.17739,0.0008813,0.0008813,0.0008813
115,7471.22,0.52283,0.53243,0.90544,0.72644,0.6,0.74167,0.59398,0.98023,1.71975,1.17739,0.0008714,0.0008714,0.0008714
116,7526.85,0.4803,0.44589,0.8821,0.80318,0.6,0.59848,0.44499,1.06156,3.31916,1.26764,0.0008615,0.0008615,0.0008615
